????: 1996
???????????(???): 447

1. ??1219	命中后削弱对方单体防御和特防的等级各1级
425. 战魂之怒	提升自身命中、暴击、攻击、防御、特防和速度各1级
426. 战气护体	回复自身最大体力值的1/2，同时提升防御和特防1级，但削弱攻击和特攻1级
427. 战武遗魂	提升自己全属性1级，30%概率下回合自己停止行动
428. 战意	提升自己攻击等级1级
429. 真空裂刃	1回合内攻击对方单体4~8次，每次攻击都有10%概率削弱对方特防等级1级
430. 至阳流焰	50%概率烧伤对方，20%概率削弱对方特防等级1级
431. 制衡	削弱对方单体攻击和命中的等级各1级
432. 致命火焰	攻击对方单体，命中后削弱自己速度和闪避的等级各1级
433. 众神之力	提升自己全属性1级，20%概率使自己下回合处于异常状态
434. 重岩护甲	受到伤害时，特攻和特防的等级各提升1级，持续3回合
435. 猪之舞	提升自身特攻、特防和速度1级
436. 猪猪苗苗盾	先发；每次受到伤害都有50%概率削弱对方双攻等级1级，持续3回合，不可叠加使用
437. 逐日追风	提升自己特攻和速度的等级各1级
438. 逐日追风	提升自身特攻和速度1级
439. 浊流	攻击对方全体，30％概率削弱对方命中等级1级
440. 啄咬	攻击对方全体，10%概率提升我方全体攻击和特攻的等级各1级
441. G弦咏叹调	40%概率削弱对方单体防御等级2级
442. α射线	20％概率削弱对方单体防御和特防的等级各1级
443. β射线	20％概率削弱对方单体命中等级1级
444. γ射线	20％概率削弱对方单体攻击和特攻的等级各1级
445. δ射线	20％概率削弱对方单体命中等级1级
446. θ射线	20％概率降低对方单体防御和特防的等级各1级
447. π射线	20％概率削弱对方攻击和特攻的等级各1级
